Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-09-01,292.5379333496094,295.79450871358483,292.20840404351725,293.54592448346756,18983800
2021-09-02,291.8788757324219,294.0208310183589,290.93873669374995,292.8965684775402,16285600
2021-09-03,291.8692321777344,293.2842768886712,291.016318792049,291.72382635847964,14747900
2021-09-07,290.9387512207031,291.82073981261544,289.0197257723892,291.74321568037084,17180400
2021-09-08,290.9678955078125,291.3555754171717,288.31225707171683,290.5511403447034,15046800
2021-09-09,288.0989074707031,292.8383788844309,287.8566039320398,291.559009101552,19927000
2021-09-10,286.6063537597656,290.6867672787481,286.2865260535682,289.2329458217043,19633400
2021-09-13,287.8469543457031,289.34925430375523,285.02653709658307,288.3897120041516,23652900
2021-09-14,290.560791015625,292.1115399592732,288.922816326019,290.3378610572379,21853400
2021-09-15,295.43597412109375,295.9205813762318,292.5283305902655,293.9240018513094,28356300
2021-09-16,295.8235778808594,295.91080361496756,291.50089055931244,294.40853334187324,19550800
2021-09-17,290.63824462890625,295.12571090987916,290.30871536477906,294.8058832523074,41372500
2021-09-20,285.23974609375,289.5236861554289,280.6069030944692,287.20724986675253,38278700
2021-09-21,285.7243347167969,288.380001741491,285.0168272798009,286.58694955344197,22364100
2021-09-22,289.38800048828125,290.9775261806469,285.4433206601765,287.5949776473581,26626300
2021-09-23,290.33782958984375,291.6365731856919,288.37032576939185,289.6496957275967,18604600
2021-09-24,290.1343078613281,290.5704365513493,287.78879623094576,289.0487925731778,14999000
2021-09-27,285.1138000488281,287.3429812358506,283.92165574313407,287.023153512802,23571700
2021-09-28,274.7916564941406,281.8281625147568,274.0453720530144,280.8783217530792,43186200
2021-09-29,275.25689697265625,277.9416102844579,274.29738415594045,276.3230387568277,26353700
2021-09-30,273.2408447265625,278.9688738745781,272.9500627575546,276.9141447704133,32343600
2021-10-01,280.1998291015625,281.05274232386216,272.63026862075776,273.43470338656726,30086300
2021-10-04,274.3941955566406,278.89136327486153,271.6222573684794,278.55213241695014,31350700
2021-10-05,279.8702697753906,281.4597655005899,275.3052501204694,275.3052501204694,24993000
2021-10-06,284.0863952636719,284.5904056402625,276.7203900908652,276.98206730927467,28002600
2021-10-07,285.77288818359375,287.5077903411879,284.8715258385162,286.0927159396259,20430500
2021-10-08,285.77288818359375,287.5077903411879,284.71644797623225,287.1007072554327,17685700
2021-10-11,285.17193603515625,288.79678807629915,283.7374882135025,283.9022676599514,19298600
2021-10-12,283.86346435546875,286.3446503825406,283.3497820040376,286.2477230453125,17974100
2021-10-13,287.1878662109375,288.1280051974415,284.4546749827831,285.8309722041459,23416300
2021-10-14,293.42962646484375,293.93360724782497,288.6610791409722,289.99859959442665,27262900
2021-10-15,294.8446350097656,295.07726652415437,291.26823234850644,293.0322092404476,25384800
2021-10-18,297.8298645019531,298.72152507618847,293.3714728965588,294.2243861957909,22729300
2021-10-19,298.740966796875,299.7780037312189,297.76205078252724,298.85726779302,17682100
2021-10-20,297.9461364746094,300.16564524246087,296.68614028593805,299.6907101782224,16537100
2021-10-21,301.19305419921875,301.4450298115465,296.92848749122396,297.713578309162,16918100
2021-10-22,299.6423034667969,301.51288001031764,298.32415660771585,300.8441197616063,17449300
2021-10-25,298.6439514160156,299.87484269984935,297.0253508218733,299.83606585320496,17554500
2021-10-26,300.5629577636719,302.78246624156077,299.0994646470596,301.4255724740112,28107300
2021-10-27,313.2210693359375,316.0608607798299,306.2717882155523,306.2717882155523,52588700
2021-10-28,314.3646240234375,314.8686047470485,311.4666535229836,314.3452208099456,26297900
2021-10-29,321.4108581542969,321.779164339949,313.92852218591963,314.15145213462347,34766000
2021-11-01,319.2301025390625,321.284832079321,316.3224597002652,321.1588294904815,27073200
2021-11-02,322.87432861328125,323.1844842535539,319.8406834588921,320.1411374922594,26487100
2021-11-03,323.71759033203125,324.5898773244967,320.47071636967297,323.62066298218525,21500100
2021-11-04,326.08245849609375,326.1793858408279,319.3658105568457,322.6417595935785,23992200
2021-11-05,325.7141418457031,328.36010742357934,324.12464583991834,328.08872861390523,22570100
2021-11-08,326.61553955078125,327.25522458135265,324.14405475009283,326.9159936378273,20897000
2021-11-09,325.6075439453125,328.2922568095031,324.2312466755597,326.7318064632748,21307400
2021-11-10,320.6161193847656,324.3282271895929,319.7632355378772,324.27007669044315,25500900
2021-11-11,322.19586181640625,323.49460526443977,320.3349871599673,321.05219618608754,16849800
2021-11-12,326.35382080078125,326.84812952926194,323.5140301700109,323.6400327539822,23831000
2021-11-15,325.7238464355469,327.4781218959433,323.74664104520605,327.14859259389846,16723000
2021-11-16,329.0579528808594,330.1822450060062,325.1810957230039,325.345845588492,20886800
2021-11-17,329.28125,332.26218849900704,328.1937488278737,329.1064793756621,19053400
2021-11-18,331.368896484375,332.51468426530346,327.33930424900313,328.3685486378301,22463500
2021-11-19,333.1554870605469,335.0877722203571,332.2719145644923,332.69915140962325,21963400
2021-11-22,329.97064208984375,339.5251843844504,329.6987667973751,334.62168013132515,31031100
2021-11-23,327.8829650878906,329.6016314725081,323.8825023880821,327.271238383683,30427600
2021-11-24,328.10638427734375,328.34913114834603,324.22243434130775,326.5236699372593,21661300
2021-11-26,320.1151428222656,328.1257894703954,318.60040473573963,324.64966735700517,24217200
2021-11-29,326.863525390625,329.1938894536679,325.02834480045965,325.2225541524577,28563500
2021-11-30,320.9987487792969,327.9801511598231,319.44516287846153,325.59153024619826,42885600
2021-12-01,320.5035095214844,329.4366054980514,319.8335554738166,325.40701369477864,33337600
2021-12-02,319.9306945800781,323.81464497690206,318.2897231668448,320.7171921648598,30766000
2021-12-03,313.6386413574219,323.04751138803783,308.803113564242,322.35808901688773,41779300
2021-12-06,316.72637939453125,317.949832989311,309.9683154511713,314.5513771213082,30032600
2021-12-07,325.20318603515625,326.05763024789434,320.5230186050097,322.01834783363466,31021900
2021-12-08,325.251708984375,325.7663312135231,321.2026777609349,325.58184120381065,24761000
2021-12-09,323.4359130859375,326.72754500614406,322.48433475393716,324.707904225957,22214200
2021-12-10,332.6020812988281,333.04872727162575,325.0769278400669,325.2614178438245,38095700
2021-12-13,329.55316162109375,333.8158110995046,329.24243849989546,330.7960244736991,28899400
2021-12-14,318.81402587890625,324.931264787045,314.7067381676782,323.552449526195,44438700
2021-12-15,324.9410095214844,325.4653511468765,315.0854908496964,319.07623584779236,35381100
2021-12-16,315.4738464355469,326.9897740911703,313.64838511563244,325.97021939286674,35034800
2021-12-17,314.4057312011719,315.49326205953525,308.0457751201241,311.57046438037884,47750300
2021-12-20,310.62860107421875,313.4347394175627,308.3564939796076,310.76452390952767,28326500
2021-12-21,317.7945251464844,318.2217620412238,310.5218082102521,313.91057492680795,24740600
2021-12-22,323.5329895019531,323.93106823006343,316.29912205638647,318.7751278896037,24831500
2021-12-23,324.97979736328125,326.6304879083412,323.0766702269499,323.0960793086828,19617800
2021-12-27,332.5147399902344,332.5438684350945,325.6983875710417,325.7275160159018,19947000
2021-12-28,331.34942626953125,333.8351514630593,330.4464151646082,333.19429626957725,15661500
2021-12-29,332.0291442871094,334.31094090954093,329.8249839842297,331.3979787884627,15042000
2021-12-30,329.4754638671875,333.1749236274577,328.98997014922884,331.99031777035117,15994500
